Title,Authors,Abstract,PDF Link
Unmixing Diffusion for Self-Supervised Hyperspectral Image Denoising,,https://openaccess.thecvf.com/content/CVPR2024/papers/Zeng_Unmixing_Diffusion_for_Self-Supervised_Hyperspectral_Image_Denoising_CVPR_2024_paper.pdf
Seeing the World through Your Eyes,"Haijin Zeng, Jiezhang Cao, Kai Zhang, Yongyong Chen, Hiep Luong, Wilfried Philips",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zeng_Unmixing_Diffusion_for_CVPR_2024_supplemental.pdf
DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery,,https://openaccess.thecvf.com/content/CVPR2024/papers/Alzayer_Seeing_the_World_through_Your_Eyes_CVPR_2024_paper.pdf
Ungeneralizable Examples,"Hadi Alzayer, Kevin Zhang, Brandon Feng, Christopher A. Metzler, Jia-Bin Huang",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Alzayer_Seeing_the_World_CVPR_2024_supplemental.pdf
LaneCPP: Continuous 3D Lane Detection using Physical Priors,,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhu_DPMesh_Exploiting_Diffusion_Prior_for_Occluded_Human_Mesh_Recovery_CVPR_2024_paper.pdf
CityDreamer: Compositional Generative Model of Unbounded 3D Cities,"Yixuan Zhu, Ao Li, Yansong Tang, Wenliang Zhao, Jie Zhou, Jiwen Lu",https://openaccess.thecvf.com/content/CVPR2024/papers/Ye_Ungeneralizable_Examples_CVPR_2024_paper.pdf
HEAL-SWIN: A Vision Transformer On The Sphere,,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ye_Ungeneralizable_Examples_CVPR_2024_supplemental.pdf
3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,"Jingwen Ye, Xinchao Wang",https://openaccess.thecvf.com/content/CVPR2024/papers/Pittner_LaneCPP_Continuous_3D_Lane_Detection_using_Physical_Priors_CVPR_2024_paper.pdf
Test-Time Linear Out-of-Distribution Detection,,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Pittner_LaneCPP_Continuous_3D_CVPR_2024_supplemental.pdf
Guided Slot Attention for Unsupervised Video Object Segmentation,"Maximilian Pittner, Joel Janai, Alexandru P. Condurache",https://openaccess.thecvf.com/content/CVPR2024/papers/Xie_CityDreamer_Compositional_Generative_Model_of_Unbounded_3D_Cities_CVPR_2024_paper.pdf
Unsupervised Blind Image Deblurring Based on Self-Enhancement,,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xie_CityDreamer_Compositional_Generative_CVPR_2024_supplemental.pdf
Action Detection via an Image Diffusion Process,"Haozhe Xie, Zhaoxi Chen, Fangzhou Hong, Ziwei Liu",https://openaccess.thecvf.com/content/CVPR2024/papers/Carlsson_HEAL-SWIN_A_Vision_Transformer_On_The_Sphere_CVPR_2024_paper.pdf
Programmable Motion Generation for Open-Set Motion Control Tasks,,https://openaccess.thecvf.com/content/CVPR2024/supplemental/Carlsson_HEAL-SWIN_A_Vision_CVPR_2024_supplemental.pdf
